"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000dyIlfKAE","500Qk00000P4DI5IAN","TextPost","0054u000008ARZjAAO","2025-05-12T15:53:25.000Z","Description: Looks like the reports in StealthAudit are no longer refreshing. The console hasn't updated since 3/25. I tried to remote into the servers but can no longer reach them. I haven't connected since they migrated so I'm assuming that is why.","","","","0054u000008ARZjAAO","2025-05-12T15:53:25.000Z"
"0D5Qk00000dyMJZKA2","500Qk00000P4DI5IAN","TextPost","00570000003KXurAAG","2025-05-12T16:38:45.000Z","Invitation updated. Attendees: No attendees listed","","","","00570000003KXurAAG","2025-05-12T16:38:45.000Z"
"0D5Qk00000dyMJbKAM","500Qk00000P4DI5IAN","TextPost","00570000003KXurAAG","2025-05-12T16:38:46.000Z","Invitation updated. Attendees: Dusty Grayson, Jim Manalo","","","","00570000003KXurAAG","2025-05-12T16:38:46.000Z"
"0D5Qk00000dyMJaKAM","500Qk00000P4DI5IAN","TextPost","00570000003KXurAAG","2025-05-12T16:38:46.000Z","Invitation updated. Attendees: Dusty Grayson","","","","00570000003KXurAAG","2025-05-12T16:38:46.000Z"
"0D5Qk00000ebG99KAE","500Qk00000P4DI5IAN","TextPost","00570000003KXurAAG","2025-05-19T20:56:05.000Z","What We've Learned Updated: Conatct change the credential in the scheduled task with the same service account as before and it started running.","","","","00570000003KXurAAG","2025-05-19T20:56:05.000Z"
"0D5Qk00000ebRsLKAU","500Qk00000P4DI5IAN","TextPost","00570000003KXurAAG","2025-05-19T20:56:22.000Z","Next Steps Updated: Awaiting to close this ticket.","","","","00570000003KXurAAG","2025-05-19T20:56:22.000Z"
"0D5Qk00000ebTdsKAE","500Qk00000P4DI5IAN","TextPost","00570000003KXurAAG","2025-05-19T20:57:36.000Z","Steps to Reproduce Updated: Account was somehow wrongly entered in the schedule credentials.","","","","00570000003KXurAAG","2025-05-19T20:57:36.000Z"
