"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000PkKroKAF","500Qk00000HgmPpIAJ","TextPost","0054u000008ARZjAAO","2024-10-30T19:48:20.000Z","Description: Does not seem that the file system monitoring is working properly. Some permissions seem to be off when you compare it to the folder permissions on the server.","","","","0054u000008ARZjAAO","2024-10-30T19:48:20.000Z"
"0D5Qk00000PtidVKAR","500Qk00000HgmPpIAJ","TextPost","0054u000007osjSAAQ","2024-11-01T18:02:58.000Z","Next Steps Updated: If the scan fails with the same error, ""T2 database does not match the T1 database,"" I will delete the T2 and rerun the Permission scan","","","","0054u000007osjSAAQ","2024-11-01T18:02:58.000Z"
"0D5Qk00000Q5KbzKAF","500Qk00000HgmPpIAJ","TextPost","0054u000007osjSAAQ","2024-11-04T22:35:36.000Z","What We've Learned Updated: Some permissions are off when compared to the folder permissions on the server because the Bulk Import is not working as it should.","","","","0054u000007osjSAAQ","2024-11-04T22:35:36.000Z"
