"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000bIqZKKA0","500Qk00000NmKIZIA3","TextPost","0054u000007MiY9AAK","2025-04-07T14:57:56.000Z","Description: Error on the SPSEEK bulk import job","","","","0054u000007MiY9AAK","2025-04-07T14:57:56.000Z"
"0D5Qk00000bIpydKAC","500Qk00000NmKIZIA3","TextPost","0054u000007MiY9AAK","2025-04-07T15:28:42.000Z","Steps to Reproduce Updated: 1. Run SPAA System Scan
2. Run SPAA Bulk Import
3. Get error on import","","","","0054u000007MiY9AAK","2025-04-07T15:28:42.000Z"
