"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000UytzzKAB","500Qk00000KjcbuIAB","TextPost","0054u000008ARZjAAO","2025-01-16T21:13:08.000Z","Description: I got the following alert that our system is running out of space but the system information is showing that there is still space available.  Please advise.  We can't have performance on the production system affected.

""... Your appliance is running low on disk space, there is 89.71 gb free available from 257.22 gb (35%). EPP Server functionality and performance may be severely affected. Use Audit Log Backup to reduce the logs stored in the database, delete older system and audit log backups, and tune policies to reduce incoming log count. For further assistance contact Support....""

Sever Information shows the following:


Disk Space System:  8.8G - 19% from 50G
Disk Space EPP Server:  155G - 64% from 258G
Logs on Disk:  4.0K
Shadows on Disk: 8.0K","","","","0054u000008ARZjAAO","2025-01-16T21:13:08.000Z"
"0D5Qk00000V1p2HKAR","500Qk00000KjcbuIAB","TextPost","005Qk000001nViKIAU","2025-01-17T16:35:39.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViKIAU","2025-01-17T16:35:39.000Z"
"0D5Qk00000V1p2IKAR","500Qk00000KjcbuIAB","TextPost","005Qk000001nViKIAU","2025-01-17T16:35:39.000Z","Invitation updated. Attendees: Flaviu Moldovan","","","","005Qk000001nViKIAU","2025-01-17T16:35:39.000Z"
"0D5Qk00000V1p2JKAR","500Qk00000KjcbuIAB","TextPost","005Qk000001nViKIAU","2025-01-17T16:35:39.000Z","Invitation updated. Attendees: Flaviu Moldovan, Spencer Chinn","","","","005Qk000001nViKIAU","2025-01-17T16:35:39.000Z"
"0D5Qk00000VPUNqKAP","500Qk00000KjcbuIAB","TextPost","005Qk000001nViKIAU","2025-01-23T17:58:18.000Z","What We've Learned Updated: Clean up some database backups and showed how to set up audit log backups.","","","","005Qk000001nViKIAU","2025-01-23T17:58:18.000Z"
"0D5Qk00000VP7BHKA1","500Qk00000KjcbuIAB","TextPost","005Qk000001nViKIAU","2025-01-23T17:58:28.000Z","Next Steps Updated: Closed case.","","","","005Qk000001nViKIAU","2025-01-23T17:58:28.000Z"
