"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000aruFUKAY","500Qk00000NbFdxIAF","TextPost","0054u000008ARZjAAO","2025-04-02T10:45:13.000Z","Description: Dear Team,

Customer is getting the error as shown in image attached","","","","0054u000008ARZjAAO","2025-04-02T10:45:13.000Z"
"0D5Qk00000axTXcKAM","500Qk00000NbFdxIAF","TextPost","005Qk000001nViFIAU","2025-04-03T14:33:50.000Z","What We've Learned Updated: Connected to the backend and saw that they have 19 GB in shadows and 4.5 in Mailer.
-They performed a snapshot of the VM today (3 April)","","","","005Qk000001nViFIAU","2025-04-03T14:33:50.000Z"
"0D5Qk00000axRqnKAE","500Qk00000NbFdxIAF","TextPost","005Qk000001nViFIAU","2025-04-03T14:34:19.000Z","Next Steps Updated: To connect again on 4th of April and to delete shadows and mailer","","","","005Qk000001nViFIAU","2025-04-03T14:34:19.000Z"
"0D5Qk00000b15A2KAI","500Qk00000NbFdxIAF","TextPost","005Qk000001nViFIAU","2025-04-04T11:40:39.000Z","What We've Learned Updated: Connected to the backend and saw that they have 19 GB in shadows and 4.5 in Mailer.
-They performed a snapshot of the VM today (3 April)

- Deleted shadows, some backups and the mailer, and now it uses only 25% from /var/eppfiles partition","","","","005Qk000001nViFIAU","2025-04-04T11:40:39.000Z"
