"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Urnq6KAB","500Qk00000KdRT4IAN","TextPost","0054u000008ARZjAAO","2025-01-15T08:59:36.000Z","Description: The issue is that when I generate an OTP it only works if I select a user and not a computer name.  With a computer name, I always get ‘Invalid Authorisation Code’ after entering the OTP code.","","","","0054u000008ARZjAAO","2025-01-15T08:59:36.000Z"
"0D5Qk00000UwOLgKAN","500Qk00000KdRT4IAN","TextPost","005Qk000001nVi3IAE","2025-01-16T08:53:31.000Z","What We've Learned Updated: generate a OTP code for the specific device with username, that was marked as valid","","","","005Qk000001nVi3IAE","2025-01-16T08:53:31.000Z"
"0D5Qk00000UwJxVKAV","500Qk00000KdRT4IAN","TextPost","005Qk000001nVi3IAE","2025-01-16T08:53:43.000Z","Next Steps Updated: Create an ADO escalation","","","","005Qk000001nVi3IAE","2025-01-16T08:53:43.000Z"
