"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000QNjjZKAT","500Qk00000HMH3dIAH","TextPost","0054u000006gpoAAAQ","2024-11-08T15:58:31.000Z","<p>Postponing until change is approved and rest of hotfixes are ready.</p>","","","","0054u000006gpoAAAQ","2024-11-08T15:58:31.000Z"
"0D5Qk00000Ssp4rKAB","500Qk00000HMH3dIAH","TextPost","0054u000006gpoAAAQ","2024-12-12T19:43:16.000Z","<p>No Show from Scott. Discussed extending with karolis. </p><p>Will let Paul keep working with Scott.</p>","","","","0054u000006gpoAAAQ","2024-12-12T19:43:16.000Z"
"0D5Qk00000TISl7KAH","500Qk00000HMH3dIAH","TextPost","0054u000006gpoAAAQ","2024-12-18T22:05:22.000Z","<p>Postponing until After the new year. Unless we hear from scott first / have new hotfix.</p>","","","","0054u000006gpoAAAQ","2024-12-18T22:05:22.000Z"
