"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000bzfc2KAA","500Qk00000O9GR7IAN","TextPost","0054u000008ARZjAAO","2025-04-17T05:13:50.000Z","Description: We have added 5 domains hosted on gmail and the customer wants the user to only login to the mentioned domains. But the other personal gmail is still getting login. Netwrix certificate is not updated on any of the browsers.","","","","0054u000008ARZjAAO","2025-04-17T05:13:50.000Z"
"0D5Qk00000c0FRbKAM","500Qk00000O9GR7IAN","TextPost","005Qk000003xRAXIA2","2025-04-17T08:42:58.000Z","What We've Learned Updated: Client has issues with blocking non-allowed business gmail domains. They added 5  business domains to be allowed but they can still get in with the GMAL account.","","","","005Qk000003xRAXIA2","2025-04-17T08:42:58.000Z"
"0D5Qk00000c0KawKAE","500Qk00000O9GR7IAN","TextPost","005Qk000003xRAXIA2","2025-04-17T08:43:17.000Z","Next Steps Updated: Sent note with instructions to check.
Waiting for their response.","","","","005Qk000003xRAXIA2","2025-04-17T08:43:17.000Z"
