"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000f3JUmKAM","500Qk00000PTISzIAP","TextPost","0054u000008ARZjAAO","2025-05-22T14:01:36.000Z","Description: Guten Tag
Leider müssen wir jeden Monat das PW ändern. Gibt es hier eine Einstellug, dass das PW z.b. alle 180 Tage (6 Monate) abläuft? Falls ja, wo kann ich das abändern?
Freundliche Grüsse,
Ilker Falk","","","","0054u000008ARZjAAO","2025-05-22T14:01:36.000Z"
"0D5Qk00000f5xMQKAY","500Qk00000PTISzIAP","TextPost","005Qk000001nViEIAU","2025-05-23T04:25:07.000Z","What We've Learned Updated: 2025.05.23: The customer asks if there is an option to set the password validity.","","","","005Qk000001nViEIAU","2025-05-23T04:25:07.000Z"
"0D5Qk00000f5xMRKAY","500Qk00000PTISzIAP","TextPost","005Qk000001nViEIAU","2025-05-23T04:25:07.000Z","Next Steps Updated: 2025.05.23: Showed the setting location in the UI.","","","","005Qk000001nViEIAU","2025-05-23T04:25:07.000Z"
