"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000X1Ms1KAF","500Qk00000Lt7hgIAB","TextPost","0054u000008ARZjAAO","2025-02-14T13:22:35.000Z","Description: Hello Team,

Can you help us changing the Master Password from the backend? The costumer had another team before them that used a Master Password and did not told them what was the old Password. Let me know your availability to change this.

Best regards,","","","","0054u000008ARZjAAO","2025-02-14T13:22:35.000Z"
"0D5Qk00000XErReKAL","500Qk00000Lt7hgIAB","TextPost","005Qk000001nViBIAU","2025-02-18T17:52:22.000Z","What We've Learned Updated: the customer needed a password reset for EasyLock
during the meeting it was reset and changed.","","","","005Qk000001nViBIAU","2025-02-18T17:52:22.000Z"
"0D5Qk00000XF6tLKAT","500Qk00000Lt7hgIAB","TextPost","005Qk000001nViBIAU","2025-02-18T17:52:33.000Z","Next Steps Updated: closing the ticket","","","","005Qk000001nViBIAU","2025-02-18T17:52:33.000Z"
